objectid,title,date,album,description,location,latitude,longitude,source,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,file_name
prdm0069,The Laughing Hyaena,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/The-Laughing-Hyaena.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0070,The Theme From Punk Rock Drum Machine,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/TheThemeFromPunkRockDrumMachine.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0071,Truman,2011,Ooo,,"La Mesa, CA","32.78909215832819, -117.00899806408563",,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Truman.mp3,/objects/Ooo-cover.gif,/objects/Ooo-cover.gif,,Ooo-cover
prdm0072,Login Back Cover,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/login-back1.jpg,/objects/small/login-back1_sm.jpg,/objects/thumbs/login-back1_th.jpg,,login-back1
prdm0073,PRDM Shirt Design 1,2010,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/prdm-shirt.jpg,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0074,PRDM Comic Strip 001,2011,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/prdm-toon0001.jpg,/objects/small/prdm-toon0001_sm.jpg,/objects/thumbs/prdm-toon0001_th.jpg,,prdm-toon0001
prdm0075,PRDM Comic Strip 002,2011,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/prdm-toon0002.jpg,/objects/small/prdm-toon0002_sm.jpg,/objects/thumbs/prdm-toon0002_th.jpg,,prdm-toon0002
prdm0076,PRDM Comic Strip 003,2011,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/prdm-toon0003.jpg,/objects/small/prdm-toon0003_sm.jpg,/objects/thumbs/prdm-toon0003_th.jpg,,prdm-toon0003
prdm0077,PRDM Konky Design,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/prdm_konky.jpg,/objects/small/prdm_konky_sm.jpg,/objects/thumbs/prdm_konky_th.jpg,,prdm_konky
prdm0078,Punk Carter,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/punk-carter2.jpg,/objects/small/punk-carter2_sm.jpg,/objects/thumbs/punk-carter2_th.jpg,,punk-carter2
prdm0079,PRDM Drum Logo,2009,WAV,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/gif,eng,image,/objects/prdmdrumlogo.jpg,/objects/small/prdmdrumlogo_sm.jpg,/objects/thumbs/prdmdrumlogo_th.jpg,,prdmdrumlogo
prdm0080,1 Meg Single Cover,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/gif,eng,image,/objects/1-meg2.gif,/objects/1-meg2.gif,/objects/1-meg2.gif,,1-meg2
prdm0081,Punk Rock Drum Machine Logo,2007,,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/png,eng,image,/objects/PunkRockDrumMachineLogo.png,/objects/small/PunkRockDrumMachineLogo_sm.jpg,/objects/thumbs/PunkRockDrumMachineLogo_th.jpg,,PunkRockDrumMachineLogo
prdm0082,Are You a Robot? Album Conver,2018,Are You a Robot?,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/AreYouARobotCover.jpg,/objects/small/AreYouARobotCover_sm.jpg,/objects/thumbs/AreYouARobotCover_th.jpg,,AreYouARobotCover
prdm0083,Sad Music for Sad People Album Cover,2020,Sad Music for Sad People,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/SadMusicCover.jpg,/objects/small/SadMusicCover_sm.jpg,/objects/thumbs/SadMusicCover_th.jpg,,SadMusicCover
